gene_id,gene_symbol,gene_name,alternate_names,alternate_symbols,vip_status
PA24356,A1BG,alpha-1-B glycoprotein,Unknown,Unknown,Yes
PA165392995,A1BG-AS1,A1BG antisense RNA 1,Unknown,FLJ23569,Yes
PA162375098,A1CF,APOBEC1 complementation factor,Unknown,"ACF, ACF64, ACF65, APOBEC1CF, ASP",Yes
PA24357,A2M,alpha-2-macroglobulin,Unknown,"CPAMD5, FWP007, S863-7",Yes
PA142670460,A2ML1,alpha-2-macroglobulin like 1,alpha-2-macroglobulin-like 1,"CPAMD9, FLJ25179, p170",Yes
PA24358,A2MP1,alpha-2-macroglobulin pseudogene 1,Unknown,Unknown,Yes
PA142670461,A3GALT2,"alpha 1,3-galactosyltransferase 2","iGb3 synthase, isoglobotriaosylceramide synthase","A3GALT2P, IGB3S, IGBS3S",Yes
PA24359,A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)","""CD77 synthase"", ""Gb3 synthase"", ""alpha 1,4-galactosyltransferase"", ""alpha 1,4-galactosyltransferase (P blood group)"", ""globotriaosylceramide synthase"", ""lactosylceramide 4-alpha-galactosyltransferase""","A14GALT, Gb3S, P(k), P1",Yes
PA134960042,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",Unknown,alpha4GnT,Yes
PA24361,AAAS,aladin WD repeat nucleoporin,"""Allgrove, triple-A"", ""achalasia, adrenocortical insufficiency, alacrimia"", ""adracalin"", ""aladin""",Unknown,Yes
PA134940696,AACS,acetoacetyl-CoA synthetase,acyl-CoA synthetase family member 1,"ACSF1, FLJ12389, SUR-5",Yes
PA134883395,AACSP1,acetoacetyl-CoA synthetase pseudogene 1,Unknown,Unknown,Yes
PA24363,AADAC,arylacetamide deacetylase,Unknown,"CES5A1, DAC",Yes
PA142670463,AADACL2,arylacetamide deacetylase like 2,arylacetamide deacetylase-like 2,MGC72001,Yes
PA145147526,AADACL3,arylacetamide deacetylase like 3,arylacetamide deacetylase-like 3,OTTHUMG00000001887,Yes
PA145147537,AADACL4,arylacetamide deacetylase like 4,arylacetamide deacetylase-like 4,OTTHUMG00000001889,Yes
PA24364,AADAT,aminoadipate aminotransferase,"L kynurenine/alpha aminoadipate aminotransferase, kynurenine aminotransferase II","KAT2, KATII, KYAT2",Yes
PA165478457,AAGAB,alpha and gamma adaptin binding protein,alpha- and gamma-adaptin binding protein,"FLJ11506, p34",Yes
PA134990616,AAK1,AP2 associated kinase 1,Unknown,"DKFZp686K16132, KIAA1048",Yes
PA144596486,AAMDC,adipogenesis associated Mth938 domain containing,"adipogenesis associated, Mth938 domain containing","C11orf67, CK067, FLJ21035, PTD015",Yes
PA24365,AAMP,angio associated migratory cell protein,"angio-associated, migratory cell protein",Unknown,Yes
PA24366,AANAT,aralkylamine N-acetyltransferase,serotonin N-acetyltransferase,SNAT,Yes
PA25753,AAR2,AAR2 splicing factor,"AAR2 splicing factor homolog, AAR2 splicing factor homolog (S. cerevisiae)","C20orf4, bA234K24.2",Yes
PA164717502,AARD,alanine and arginine rich domain containing protein,Alanine and arginine-rich domain-containing protein,"C8orf85, LOC441376",Yes
PA24367,AARS1,alanyl-tRNA synthetase 1,"""alanine tRNA ligase 1, cytoplasmic"", ""alanyl-tRNA synthetase""","AARS, AlaRS, CMT2N",Yes
PA162375129,AARS2,"alanyl-tRNA synthetase 2, mitochondrial","alanine tRNA ligase 2, mitochondrial","AARSL, KIAA1270, bA444E17.1",Yes
PA142670464,AARSD1,alanyl-tRNA synthetase domain containing 1,Unknown,"AlaXp, MGC2744",Yes
PA162375178,AASDH,aminoadipate-semialdehyde dehydrogenase,"Beta-alanine-activating enzyme, acyl-CoA synthetase family member 4","ACSF4, LYS2, NRPS998",Yes
PA24368,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,"holo ACP synthase, holo-[acyl-carrier-protein] synthase","AASD-PPT, ACPS, CGI-80, LYS5",Yes
PA24369,AASS,aminoadipate-semialdehyde synthase,"""alpha-aminoadipic semialdehyde synthase"", ""lysine ketoglutarate reductase/saccharopine dehydrogenase"", ""saccharopine dehydrogenase (NAD(+), L-glutamate-forming)"", ""saccharopine dehydrogenase (NADP(+), L-lysine-forming)""","LKR/SDH, LKRSDH, LORSDH",Yes
PA128395780,AATF,apoptosis antagonizing transcription factor,Unknown,"BFR2, CHE-1, CHE1, DED",Yes
PA24370,AATK,apoptosis associated tyrosine kinase,"""apoptosis-associated tyrosine kinase"", ""lemur tyrosine kinase 1"", ""protein phosphatase 1, regulatory subunit 77""","AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77",Yes
PA24371,AAVS1,adeno-associated virus integration site 1,Unknown,AAV,Yes
PA24372,ABAT,4-aminobutyrate aminotransferase,"4-aminobutyrate transaminase, GABA transaminase, gamma-aminobutyrate aminotransferase","GABA-T, GABAT",Yes
PA24373,ABCA1,ATP binding cassette subfamily A member 1,"""ATP-binding cassette, sub-family A (ABC1), member 1"", ""Tangier disease""","ABC1, HDLDT1, TGD",Yes
PA24374,ABCA10,ATP binding cassette subfamily A member 10,"ATP-binding cassette, sub-family A (ABC1), member 10",EST698739,Yes
PA24375,ABCA11P,"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene",Unknown,"EST1133530, FLJ14297",Yes
PA29604,ABCA12,ATP binding cassette subfamily A member 12,"ATP-binding cassette, sub-family A (ABC1), member 12","DKFZP434G232, ICR2B, LI2",Yes
PA134925234,ABCA13,ATP binding cassette subfamily A member 13,"ATP-binding cassette, sub-family A (ABC1), member 13","FLJ33876, FLJ33951",Yes
PA24377,ABCA2,ATP binding cassette subfamily A member 2,"ATP-binding cassette, sub-family A (ABC1), member 2",ABC2,Yes
PA24378,ABCA3,ATP binding cassette subfamily A member 3,"ATP-binding cassette, sub-family A (ABC1), member 3","ABC-C, ABC3, EST111653, LBM180",Yes
PA24379,ABCA4,ATP binding cassette subfamily A member 4,"""ATP-binding cassette, sub-family A (ABC1), member 4"", ""Stargardt disease""","ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1",Yes
PA24380,ABCA5,ATP binding cassette subfamily A member 5,"ATP-binding cassette, sub-family A (ABC1), member 5",EST90625,Yes
PA24381,ABCA6,ATP binding cassette subfamily A member 6,"ATP-binding cassette, sub-family A (ABC1), member 6",EST155051,Yes
PA24382,ABCA7,ATP binding cassette subfamily A member 7,"ATP-binding cassette, sub-family A (ABC1), member 7",ABCX,Yes
PA24383,ABCA8,ATP binding cassette subfamily A member 8,"ATP-binding cassette, sub-family A (ABC1), member 8",KIAA0822,Yes
PA24384,ABCA9,ATP binding cassette subfamily A member 9,"ATP-binding cassette, sub-family A (ABC1), member 9",EST640918,Yes
PA267,ABCB1,ATP binding cassette subfamily B member 1,"""ATP-binding cassette, sub-family B (MDR/TAP), member 1"", ""P-glycoprotein"", ""multidrug resistance protein 1""","ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1, p-170",Yes
PA24385,ABCB10,ATP binding cassette subfamily B member 10,"""ABC transporter 10 protein"", ""ATP-binding cassette sub-family B member 10, mitochondrial"", ""ATP-binding cassette transporter 10"", ""ATP-binding cassette, sub-family B (MDR/TAP), member 10"", ""mitochondrial ATP-binding cassette 2""","EST20237, M-ABC2, MTABC2",Yes
PA24386,ABCB10P1,"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1",Unknown,"M-ABC2, MABC2",Yes
PA374,ABCB11,ATP binding cassette subfamily B member 11,"""ABC member 16, MDR/TAP subfamily"", ""ATP-binding cassette, sub-family B (MDR/TAP), member 11""","ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP",Yes
PA268,ABCB4,ATP binding cassette subfamily B member 4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4","GBD1, MDR2, MDR3, PFIC-3, PGY3",Yes
PA24387,ABCB5,ATP binding cassette subfamily B member 5,"""ATP-binding cassette protein"", ""ATP-binding cassette, sub-family B (MDR/TAP), member 5"", ""P-glycoprotein ABCB5""","ABCB5alpha, ABCB5beta, EST422562",Yes
PA24388,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),"""ATP binding cassette subfamily B member 6 (Langereis blood group)"", ""ATP-binding cassette half-transporter"", ""ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)""","EST45597, MTABC3, umat",Yes
PA24389,ABCB7,ATP binding cassette subfamily B member 7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7","ABC7, ASAT, Atm1p, EST140535",Yes
PA24390,ABCB8,ATP binding cassette subfamily B member 8,"""ATP-binding cassette, sub-family B (MDR/TAP), member 8"", ""mitochondrial ABC protein""","EST328128, M-ABC1, MABC1, MITOSUR",Yes
PA24391,ABCB9,ATP binding cassette subfamily B member 9,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",EST122234,Yes
PA244,ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),"""ATP binding cassette subfamily C member 1"", ""ATP-binding cassette, sub-family C (CFTR/MRP), member 1"", ""glutathione S-conjugate export pump""","GS-X, MRP, MRP1",Yes
PA24392,ABCC10,ATP binding cassette subfamily C member 10,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10","EST182763, MRP7, SIMRP7",Yes
PA24393,ABCC11,ATP binding cassette subfamily C member 11,"ATP-binding cassette, sub-family C (CFTR/MRP), member 11",MRP8,Yes
PA24394,ABCC12,ATP binding cassette subfamily C member 12,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12",MRP9,Yes
PA134875904,ABCC13,"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene",Unknown,"C21orf73, PRED6",Yes
PA116,ABCC2,ATP binding cassette subfamily C member 2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2","CMOAT, DJS, MRP2, cMRP",Yes
PA376,ABCC3,ATP binding cassette subfamily C member 3,"""ATP-binding cassette, sub-family C (CFTR/MRP), member 3"", ""canalicular multispecific organic anion transporter 2""","EST90757, MLP2, MOAT-D, MRP3, cMOAT2",Yes
PA397,ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),"""ATP binding cassette subfamily C member 4"", ""ATP-binding cassette, sub-family C (CFTR/MRP), member 4"", ""bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)"", ""canalicular multispecific organic anion transporter (ABC superfamily)"", ""multidrug resistance-associated protein 4"", ""multispecific organic anion transporter B""","EST170205, MOAT-B, MOATB, MRP4",Yes
PA395,ABCC5,ATP binding cassette subfamily C member 5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5","EST277145, MOAT-C, MRP5, SMRP",Yes
PA58,ABCC6,ATP binding cassette subfamily C member 6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6","ARA, EST349056, MLP1, MRP6, PXE, URG7",Yes
PA24395,ABCC8,ATP binding cassette subfamily C member 8,"""ATP-binding cassette, sub-family C (CFTR/MRP), member 8"", ""sulfonylurea receptor (hyperinsulinemia)""","ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2",Yes
PA396,ABCC9,ATP binding cassette subfamily C member 9,"""ATP-binding cassette, sub-family C (CFTR/MRP), member 9"", ""sulfonylurea receptor 2""","CMD1O, SUR2",Yes
PA24396,ABCD1,ATP binding cassette subfamily D member 1,"ATP-binding cassette, sub-family D (ALD), member 1","ALD, ALDP, AMN, adrenoleukodystrophy",Yes
PA24397,ABCD1P1,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1",Unknown,Unknown,Yes
PA24398,ABCD1P2,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2",Unknown,bA453N3.6,Yes
PA24399,ABCD1P3,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3",Unknown,Unknown,Yes
PA24400,ABCD1P4,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4",Unknown,Unknown,Yes
PA24401,ABCD2,ATP binding cassette subfamily D member 2,"ATP-binding cassette, sub-family D (ALD), member 2","ALDL1, ALDR, ALDRP",Yes
PA24402,ABCD3,ATP binding cassette subfamily D member 3,"""ATP-binding cassette, sub-family D (ALD), member 3"", ""peroxisomal membrane protein 70 kDa""","PMP70, PXMP1, ZWS2",Yes
PA24403,ABCD4,ATP binding cassette subfamily D member 4,"""ATP-binding cassette, sub-family D (ALD), member 4"", ""Lysosomal cobalamin transporter ABCD4""","EST352188, P70R, PMP69, PXMP1L",Yes
PA24404,ABCE1,ATP binding cassette subfamily E member 1,"""ATP-binding cassette, sub-family E (OABP), member 1"", ""RNase L inhibitor 1""","OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I",Yes
PA24405,ABCF1,ATP binding cassette subfamily F member 1,"ATP-binding cassette, sub-family F (GCN20), member 1","ABC50, EST123147",Yes
PA24406,ABCF2,ATP binding cassette subfamily F member 2,"ATP-binding cassette, sub-family F (GCN20), member 2","ABC28, EST133090, HUSSY-18, M-ABC1",Yes
PA24407,ABCF3,ATP binding cassette subfamily F member 3,"ATP-binding cassette, sub-family F (GCN20), member 3",EST201864,Yes
PA24408,ABCG1,ATP binding cassette subfamily G member 1,"""ATP-binding cassette transporter 8"", ""ATP-binding cassette, sub-family G (WHITE), member 1""",ABC8,Yes
PA390,ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),"""ATP binding cassette subfamily G member 2 (Junior blood group)"", ""ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)""","ABCP, BCRP, CD338, EST157481, MXR",Yes
PA24410,ABCG4,ATP binding cassette subfamily G member 4,"""ATP-binding cassette, sub-family G (WHITE), member 4"", ""ATP-binding cassette, subfamily G, member 4"", ""putative ABC transporter""",WHITE2,Yes
PA24411,ABCG5,ATP binding cassette subfamily G member 5,"""ATP-binding cassette, sub-family G (WHITE), member 5"", ""sterolin 1""",STSL,Yes
PA24412,ABCG8,ATP binding cassette subfamily G member 8,"""ATP-binding cassette, sub-family G (WHITE), member 8"", ""gallbladder disease 4"", ""sterolin 2""",GBD4,Yes
PA38459,ABHD1,abhydrolase domain containing 1,Unknown,"FLJ36128, LABH1",Yes
PA134978569,ABHD10,"abhydrolase domain containing 10, depalmitoylase","""Mycophenolic acid acyl-glucuronide esterase, mitochondrial"", ""abhydrolase domain containing 10""",FLJ11342,Yes
PA38134,ABHD11,abhydrolase domain containing 11,Unknown,"PP1226, WBSCR21",Yes
PA25738,ABHD12,"abhydrolase domain containing 12, lysophospholipase",abhydrolase domain containing 12,"ABHD12A, BEM46L2, C20orf22, DKFZP434P106, dJ965G21.2",Yes
PA162375213,ABHD12B,abhydrolase domain containing 12B,Unknown,"BEM46L3, C14orf29",Yes
PA134862303,ABHD13,abhydrolase domain containing 13,Unknown,"BEM46L1, C13orf6, FLJ14906, bA153I24.2",Yes
PA142672659,ABHD14A,abhydrolase domain containing 14A,Unknown,"DKFZP564O243, DORZ1",Yes
PA142672660,ABHD14B,abhydrolase domain containing 14B,CCG1/TAFII250-interacting factor B,"CIB, MGC15429",Yes
PA164714659,ABHD15,abhydrolase domain containing 15,Unknown,Unknown,Yes
PA25266,ABHD16A,"abhydrolase domain containing 16A, phospholipase","Phosphatidylserine lipase ABHD16A, abhydrolase domain containing 16A","BAT5, D6S82E, NG26",Yes
PA25677,ABHD16B,abhydrolase domain containing 16B,Unknown,"C20orf135, dJ591C20.1",Yes
PA134947443,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase",abhydrolase domain containing 17A,"C19orf27, FAM108A1, MGC5244",Yes
PA143485465,ABHD17AP1,abhydrolase domain containing 17A pseudogene 1,Unknown,"C1orf47, FAM108A3",Yes
PA162385609,ABHD17AP3,abhydrolase domain containing 17A pseudogene 3,Unknown,Unknown,Yes
PA162385617,ABHD17AP4,abhydrolase domain containing 17A pseudogene P4,Unknown,Unknown,Yes
PA162385624,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase",abhydrolase domain containing 17B,"C9orf77, CGI-67, FAM108B1",Yes
PA162385639,ABHD17C,"abhydrolase domain containing 17C, depalmitoylase",abhydrolase domain containing 17C,FAM108C1,Yes
PA147358673,ABHD18,abhydrolase domain containing 18,chromosome 4 open reading frame 29,"C4orf29, FLJ21106",Yes
PA38658,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase",abhydrolase domain containing 2,LABH2,Yes
PA38659,ABHD3,"abhydrolase domain containing 3, phospholipase",abhydrolase domain containing 3,LABH3,Yes
PA128394705,ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",abhydrolase domain containing 4,FLJ12816,Yes
PA134891622,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",abhydrolase domain containing 5,"CGI-58, NCIE2",Yes
PA134916787,ABHD6,"abhydrolase domain containing 6, acylglycerol lipase",abhydrolase domain containing 6,Unknown,Yes
PA134994313,ABHD8,abhydrolase domain containing 8,Unknown,"FLJ11743, MGC14280, MGC2512",Yes
PA36144,ABI1,abl interactor 1,abl-interactor 1,"ABI-1, E3B1, SSH3BP1",Yes
PA134977768,ABI1P1,abl-interactor 1 pseudogene 1,Unknown,Unknown,Yes
PA134977642,ABI2,abl interactor 2,abl-interactor 2,"ABI-2, ABI2B, AIP-1, AblBP3, SSH3BP2, argBPIA",Yes
PA134951642,ABI3,ABI family member 3,"ABI family, member 3","NESH, SSH3BP3",Yes
PA134977769,ABI3BP,ABI family member 3 binding protein,"""ABI family, member 3 (NESH) binding protein"", ""target of Nesh-SH3""","DKFZP586L2024, NESHBP, TARSH",Yes
PA25981,ABITRAM,actin binding transcription modulator,"""family with sequence similarity 206 member A"", ""family with sequence similarity 206, member A""","C9orf6, CG-8, FAM206A, FLJ20457, Simiate",Yes
PA24413,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",Unknown,"ABL, JTK7, c-ABL, p150",Yes
PA24414,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",Abelson-related gene,"ABLL, ARG",Yes
PA35023,ABLIM1,actin binding LIM protein 1,ABLIM,"LIMAB1, abLIM, limatin",Yes
PA134940437,ABLIM2,actin binding LIM protein family member 2,"actin binding LIM protein family, member 2",KIAA1808,Yes
PA134962761,ABLIM3,actin binding LIM protein family member 3,"actin binding LIM protein family, member 3",KIAA0843,Yes
PA24415,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","A3GALNT, A3GALT1",Yes
PA24417,ABR,ABR activator of RhoGEF and GTPase,"""ABR, RhoGEF and GTPase activating protein"", ""active BCR-related""",MDB,Yes
PA143485290,ABRA,actin binding Rho activating protein,"actin-binding Rho activating protein, striated muscle activator of Rho-dependent signaling",STARS,Yes
PA134884626,ABRACL,ABRA C-terminal like,Unknown,"C6orf115, Costars, HSPC280, PRO2013",Yes
PA162387308,ABRAXAS1,"abraxas 1, BRCA1 A complex subunit","""Abraxas protein"", ""family with sequence similarity 175, member A""","ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614",Yes
PA162387331,ABRAXAS2,"abraxas 2, BRISC complex subunit","""Abraxas brother"", ""family with sequence similarity 175, member B""","ABRO1, Em:AC068896.4, FAM175B, KIAA0157",Yes
PA38451,ABT1,activator of basal transcription 1,Unknown,Esf2,Yes
PA24418,ABTB1,ankyrin repeat and BTB domain containing 1,ankyrin repeat and BTB (POZ) domain containing 1,"BPOZ, BPOZ-2, BTBD21, Btb3, EF1ABP",Yes
PA134937734,ABTB2,ankyrin repeat and BTB domain containing 2,ankyrin repeat and BTB (POZ) domain containing 2,"ABTB2A, BTBD22, DKFZP586C1619",Yes
PA134975180,ABTB3,ankyrin repeat and BTB domain containing 3,"BTB (POZ) domain containing 11, BTB domain containing 11","ABTB2B, BTBD11, FLJ33957",Yes
PA24419,ACAA1,acetyl-CoA acyltransferase 1,peroxisomal 3-oxoacyl-Coenzyme A thiolase,Lnc-Myd88,Yes
PA24420,ACAA2,acetyl-CoA acyltransferase 2,mitochondrial 3-oxoacyl-Coenzyme A thiolase,DSAEC,Yes
PA24421,ACACA,acetyl-CoA carboxylase alpha,acetyl-CoA carboxylase 1,"ACAC, ACACalpha, ACC, ACC-alpha, ACC1, ACCA, ACCalpha, Acac1, hACC1",Yes
PA24422,ACACB,acetyl-CoA carboxylase beta,acetyl-CoA carboxylase 2,"ACACbeta, ACC-beta, ACC2, ACCB, ACCbeta, HACC275",Yes
PA134976754,ACAD10,acyl-CoA dehydrogenase family member 10,"acyl-CoA dehydrogenase family, member 10",MGC5601,Yes
PA142672658,ACAD11,acyl-CoA dehydrogenase family member 11,"acyl-CoA dehydrogenase family, member 11",FLJ12592,Yes
PA24423,ACAD8,acyl-CoA dehydrogenase family member 8,"""acyl-CoA dehydrogenase family, member 8"", ""isobutyryl-CoA dehydrogenase""",Unknown,Yes
PA134900655,ACAD9,acyl-CoA dehydrogenase family member 9,"acyl-CoA dehydrogenase family, member 9","MGC14452, NPD002",Yes
PA24424,ACADL,acyl-CoA dehydrogenase long chain,"""acyl-CoA dehydrogenase, long chain"", ""long-chain acyl-CoA dehydrogenase""","ACAD4, LCAD",Yes
PA24425,ACADM,acyl-CoA dehydrogenase medium chain,"""acyl-CoA dehydrogenase, C-4 to C-12 straight chain"", ""medium-chain acyl-CoA dehydrogenase""","ACAD1, MCAD, MCADH",Yes
PA24426,ACADS,acyl-CoA dehydrogenase short chain,"acyl-CoA dehydrogenase, C-2 to C-3 short chain","ACAD3, SCAD",Yes
PA24427,ACADSB,acyl-CoA dehydrogenase short/branched chain,"acyl-CoA dehydrogenase, short/branched chain","ACAD7, SBCAD",Yes
PA24428,ACADVL,acyl-CoA dehydrogenase very long chain,"acyl-CoA dehydrogenase, very long chain","ACAD6, LCACD, VLCAD",Yes
PA24616,ACAN,aggrecan,aggrecan proteoglycan,"AGC1, CSPG1, CSPGCP, MSK16",Yes
PA26406,ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",Unknown,"CENTB1, KIAA0050",Yes
PA26407,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",Unknown,"CENTB2, CNT-B2, KIAA0041",Yes
PA26408,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",Unknown,"CENTB5, KIAA1716",Yes
PA24431,ACAT1,acetyl-CoA acetyltransferase 1,acetoacetyl Coenzyme A thiolase,"ACAT, THIL",Yes
PA19,ACAT2,acetyl-CoA acetyltransferase 2,"""Acetyl-CoA acetyltransferase, cytosolic"", ""acetoacetyl Coenzyme A thiolase""",Unknown,Yes
PA28803,ACBD3,acyl-CoA binding domain containing 3,PBR- and PKA-associated protein 7,"GCP60, GOCAP1, GOLPH1, PAP7",Yes
PA134897893,ACBD4,acyl-CoA binding domain containing 4,Unknown,FLJ13322,Yes
PA134892991,ACBD5,acyl-CoA binding domain containing 5,Unknown,"DKFZp434A2417, KIAA1996",Yes
PA134925459,ACBD6,acyl-CoA binding domain containing 6,Unknown,MGC2404,Yes
PA134884059,ACBD7,acyl-CoA binding domain containing 7,Unknown,"FLJ38219, bA455B2.2",Yes
PA162375284,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional),"ACS, PHACS",Yes
PA164714805,ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like,Unknown,Yes
PA134882431,ACD,ACD shelterin complex subunit and telomerase recruitment factor,"""ACD, shelterin complex subunit and telomerase recruitment factor"", ""POT1 and TIN2 organizing protein"", ""TIN2 interacting protein 1"", ""adrenocortical dysplasia homolog (mouse)""","Pip1, Ptop, Tint1, Tpp1",Yes
PA139,ACE,angiotensin I converting enzyme,peptidyl-dipeptidase A,"ACE1, CD143, DCP1",Yes
PA425,ACE2,angiotensin converting enzyme 2,"angiotensin I converting enzyme 2, peptidyl-dipeptidase A",ACEH,Yes
PA164714838,ACER1,alkaline ceramidase 1,Unknown,ASAH3,Yes
PA164714853,ACER2,alkaline ceramidase 2,Unknown,"ALKCDase2, ASAH3L, FLJ41587",Yes
PA33256,ACER3,alkaline ceramidase 3,alkaline phytoceramidase,"APHC, FLJ11238, PHCA",Yes
PA20,ACHE,acetylcholinesterase (Yt blood group),"Yt blood group, acetylcholinesterase (Cartwright blood group), acetylcholinesterase (Yt blood group)",YT,Yes
PA134912489,ACIN1,apoptotic chromatin condensation inducer 1,functional spliceosome-associated protein 152,"ACINUS, KIAA0670, fSAP152",Yes
PA28451,ACKR1,atypical chemokine receptor 1 (Duffy blood group),"atypical chemokine receptor 1, glycoprotein D","CCBP1, CD234, DARC, Dfy, FY, GPD",Yes
PA26139,ACKR2,atypical chemokine receptor 2,Unknown,"CCBP2, CCR10, CCR9, CMKBR9, D6",Yes
PA162383053,ACKR3,atypical chemokine receptor 3,Unknown,"CMKOR1, CXCR7, GPR159, RDC1",Yes
PA35036,ACKR4,atypical chemokine receptor 4,Unknown,"CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1",Yes
PA24441,ACLY,ATP citrate lyase,ATP citrate synthase,"ACL, ATPCL, CLATP",Yes
PA134973312,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,Unknown,Unknown,Yes
PA24442,ACO1,aconitase 1,"""aconitase 1, soluble"", ""aconitate hydratase, cytoplasmic"", ""cytosplasmic aconitase"", ""soluble aconitase""","IREB1, IREBP, IRP1",Yes
PA24443,ACO2,aconitase 2,"""aconitase 2, mitochondrial"", ""aconitate hydratase, mitochondrial"", ""mitochondrial aconitase""",ACONM,Yes
PA162392282,ACOD1,aconitate decarboxylase 1,immunoresponsive 1 homolog (mouse),"CAD, IRG1",Yes
PA162375318,ACOT1,acyl-CoA thioesterase 1,Unknown,"ACH2, CTE-1, LACH2",Yes
PA38303,ACOT11,acyl-CoA thioesterase 11,StAR-related lipid transfer (START) domain containing 14,"BFIT, BFIT1, KIAA0707, STARD14, THEA, THEM1",Yes
PA142672657,ACOT12,acyl-CoA thioesterase 12,StAR-related lipid transfer (START) domain containing 15,"Cach, STARD15, THEAL",Yes
PA165617655,ACOT13,acyl-CoA thioesterase 13,Unknown,"HT012, THEM2",Yes
PA142672653,ACOT2,acyl-CoA thioesterase 2,mitochondrial acyl-CoA thioesterase 1,"Mte1, ZAP128",Yes
PA142672654,ACOT4,acyl-CoA thioesterase 4,Unknown,"FLJ31235, PTE-Ib, PTE2B",Yes
PA162375329,ACOT6,acyl-CoA thioesterase 6,Unknown,C14orf42,Yes
PA142672655,ACOT7,acyl-CoA thioesterase 7,"Long chain acyl-CoA thioester hydrolase, brain acyl CoA hydrolase","ACH1, ACT, BACH, CTE-II, LACH1, MGC1126, hBACH",Yes
PA33941,ACOT8,acyl-CoA thioesterase 8,"Nef (lentivirus myristoylated factor) associated protein 1, choloyl-CoA hydrolase","NAP1, PTE-2, PTE1, hACTE-III, hTE",Yes
PA142672656,ACOT9,acyl-CoA thioesterase 9,Unknown,"ACATE2, CGI-16, MT-ACT48",Yes
PA21,ACOX1,acyl-CoA oxidase 1,"""acyl-CoA oxidase 1, palmitoyl"", ""palmitoyl-CoA oxidase""",PALMCOX,Yes
PA24444,ACOX2,acyl-CoA oxidase 2,"""3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase"", ""acyl-CoA oxidase 2, branched chain"", ""branched chain acyl-CoA oxidase"", ""trihydroxycoprostanoyl-CoA oxidase""","BRCACOX, BRCOX, THCCox",Yes
PA24445,ACOX3,"acyl-CoA oxidase 3, pristanoyl",Unknown,Unknown,Yes
