gene_id,gene_symbol,gene_name,alternate_names,alternate_symbols,vip_status
PA134982815,DAPL1,death associated protein like 1,death associated protein-like 1,Unknown,Yes
PA27145,DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides 1,dual adaptor of phosphotyrosine and 3-phosphoinositides,BAM32,Yes
PA27146,DARS1,aspartyl-tRNA synthetase 1,"""aspartate tRNA ligase 1, cytoplasmic"", ""aspartyl-tRNA synthetase""",DARS,Yes
PA142672015,DARS2,"aspartyl-tRNA synthetase 2, mitochondrial","aspartate tRNA ligase 2, mitochondrial","FLJ10514, mtAspRS",Yes
PA142670602,DAW1,dynein assembly factor with WD repeats 1,"dynein assembly factor with WDR repeat domains 1, dynein axonemal assembly factor 18, outer row dynein assembly 16 homolog (Chlamydomonas)","DNAAF18, FLJ25955, ODA16, WDR69",Yes
PA27148,DAXX,death domain associated protein,death-domain associated protein,DAP6,Yes
PA27149,DAZ1,deleted in azoospermia 1,Unknown,"DAZ, SPGY",Yes
PA27150,DAZ2,deleted in azoospermia 2,Unknown,"MGC126442, pDP1678",Yes
PA27151,DAZ3,deleted in azoospermia 3,Unknown,Unknown,Yes
PA27152,DAZ4,deleted in azoospermia 4,Unknown,Unknown,Yes
PA27153,DAZAP1,DAZ associated protein 1,deleted in azoospermia associated protein 1,MGC19907,Yes
PA27154,DAZAP2,DAZ associated protein 2,Unknown,KIAA0058,Yes
PA27155,DAZL,deleted in azoospermia like,deleted in azoospermia-like,"DAZH, DAZL1, DAZLA, MGC26406, SPGYLA",Yes
PA142672016,DBF4,DBF4-CDC7 kinase regulatory subunit,"""DBF4 homolog (S. cerevisiae)"", ""DBF4 zinc finger"", ""DBF4 zinc finger A"", ""activator of S phase kinase"", ""chiffon homolog (Drosophila)"", ""regulatory subunit of DDK"", ""zinc finger, DBF-type containing 1""","ASK, DBF4A, ZDBF1, chif",Yes
PA143485447,DBF4B,DBF4B-CDC7 kinase regulatory subunit,"""DBF4 homolog B (S. cerevisiae)"", ""DBF4 zinc finger B"", ""chiffon homolog B (Drosophila)"", ""zinc finger, DBF-type containing 1B""","ASKL1, DRF1, FLJ13087, ZDBF1B, chifb",Yes
PA136,DBH,dopamine beta-hydroxylase,"dopamine beta-hydroxylase (dopamine beta-monooxygenase), dopamine beta-monooxygenase",DBM,Yes
PA164723679,DBH-AS1,DBH antisense RNA 1,Unknown,BPR,Yes
PA27158,DBI,"diazepam binding inhibitor, acyl-CoA binding protein","""diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)"", ""endozepine""","ACBD1, ACBP",Yes
PA27160,DBIP1,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) pseudogene 1",Unknown,Unknown,Yes
PA27159,DBIP2,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) pseudogene 2",Unknown,Unknown,Yes
PA27163,DBN1,drebrin 1,Unknown,D0S117E,Yes
PA144596443,DBNDD1,dysbindin domain containing 1,dysbindin (dystrobrevin binding protein 1) domain containing 1,"FLJ12582, MGC3101",Yes
PA25749,DBNDD2,dysbindin domain containing 2,dysbindin (dystrobrevin binding protein 1) domain containing 2,"C20orf35, HSMNP1",Yes
PA27164,DBNL,drebrin like,"HPK1-interacting protein of 55 kDa, actin-binding protein 1, drebrin-like","ABP1, HIP-55, SH3P7",Yes
PA27165,DBP,D-box binding PAR bZIP transcription factor,D site of albumin promoter (albumin D-box) binding protein,DABP,Yes
PA27166,DBR1,debranching RNA lariats 1,Unknown,Unknown,Yes
PA27167,DBT,dihydrolipoamide branched chain transacylase E2,"""branched chain 2-oxo-acid dehydrogenase complex component E2"", ""dihydrolipoyllysine-residue (2-methylpropanoyl)transferase"", ""lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial""","BCKAD-E2, BCKDH-E2, BCOADC-E2",Yes
PA162383238,DBX1,developing brain homeobox 1,Unknown,Unknown,Yes
PA162383249,DBX2,developing brain homeobox 2,Unknown,FLJ16139,Yes
PA142670621,DCAF1,DDB1 and CUL4 associated factor 1,"DDB1 and CUL4 associated factor 1, Vpr (HIV-1) binding protein","DCAF1, KIAA0800, MGC102804, VPRBP",Yes
PA165585713,DCAF10,DDB1 and CUL4 associated factor 10,Unknown,"FLJ23201, MGC10765, WDR32",Yes
PA165478701,DCAF11,DDB1 and CUL4 associated factor 11,Unknown,"GL014, PRO2389, WDR23",Yes
PA165585735,DCAF12,DDB1 and CUL4 associated factor 12,cancer/testis antigen 102,"CT102, DKFZP434O125, KIAA1892, MGC1058, TCC52, WDR40A",Yes
PA165756488,DCAF12L1,DDB1 and CUL4 associated factor 12 like 1,DDB1 and CUL4 associated factor 12-like 1,"KIAA1892L, WDR40B",Yes
PA165756531,DCAF12L2,DDB1 and CUL4 associated factor 12 like 2,DDB1 and CUL4 associated factor 12-like 2,WDR40C,Yes
PA165585440,DCAF13,DDB1 and CUL4 associated factor 13,Unknown,"DKFZP564O0463, Gm83, HSPC064, Sof1, WDSOF1",Yes
