drug_id,drug_name,generic_names,trade_names,drug_type
PA166293321,tremelimumab,Unknown,Unknown,Drug
PA164768801,treprostinil,treprostinil,"Remodulin, Viveta",Drug
PA451746,tretinoin,"ATRA, All Trans Retinoic Acid, All Trans-Retinoic Acid, Retionic Acid, beta-Retinoic Acid, tretinoin","Aberel, Airol, Aknefug, Aknoten, Amnesteem, Atra-IV, Claravis, Dermairol, Eudyna, Lsotretinoin, Retisol-A, Solage, Sotret, Stieva-A, Stieva-a Forte, Tri-Luma, Vesanoid, Vitinoin",Drug
PA165107992,triadimefon,Unknown,Unknown,Drug
PA451749,triamcinolone,"Fluoxiprednisolone, Fluoxyprednisolone, Tiamcinolonum [INN-Latin], Triamcinalone, Triamcinolona [INN-Spanish], Triamcinolone acetonide, Triamcinolone diacetate, Triamcinolone hexacetonide, Triamcinolonum [INN]","Adcortyl, Aristocort, Aristocort A, Aristocort Tablets, Aristogel, Aristospan, Azmacort, Celeste, Cinolone, Cinolone-T, Delphicort, Flutex, Fougera, Kenacort, Kenacort-A, Kenacort-Ag, Kenalog, Kenalog in Orabase, Kenalog-10, Kenalog-40, Kenalog-H, Ledercort, Nasacort, Nasacort Aq, Nasacort Hfa, Omcilon, Omicilon, Oracort, Oralone, Orion, Polcortolon, Rodinolone, Sk-Triamcinolone, Tri-Nasal, Triacet, Triacort, Triam-Tablinen, Triamcet, Triamcinlon, Triamcinolon, Triatex, Tricortale, Triderm, Trilone, Tristoject, Trymex, Vetalog, Volon, Volon A",Drug
PA451752,triamterene,Triamteren,"Ademin, Ademine, Diren, Ditak, Diucelpin, Diurene, Dyazide, Dyren, Dyrenium, Dytac, Jatropur, Maxzide, Maxzide-25, Noridil, Noridyl, Pterofen, Pterophene, Taturil, Teriam, Teridin, Tri-Span, Triampur, Triamteril, Triamteril Complex, Trispan, Triteren, Urocaudal",Drug
PA451753,triazolam,"DEA No. 2887, Triazolamum [INN-Latin]","Alti-Triazolam, Apo-Triazo, Clorazolam, Gen-Triazolam, Halcion, Novidorm, Novo-Triolam, Novodorm, Songar",Drug
PA164713361,Triazole derivatives,Unknown,Unknown,Drug Class
PA164752426,trichlormethiazide,Unknown,"Achletin, Anatran, Anistadin, Aponorin, Carvacron, Chlopolidine, Cretonin, Diu-Hydrin, Diurazida, Diurese, Diuroral, Esmarin, Eurinol, Fluitran, Flurese, Flutra, Gangesol, Hydrotrichlorothiazide, Intromene, Isestran, Kubacron, Metahydrin, Metatensin, Nakva, Naqua, Naquasone, Salurin, Schebitran, Tachionin, Tolcasone, Trichlorex, Trichlormas, Trichlormetazid, Trichlormethiazid, Trichlormethiazide W/ Reserpine, Trichloromethiadiazide, Trichloromethiazide, Triclordiuride, Triclormetiazide, Triflumen",Drug
PA166115521,trichloroethylene,Unknown,Unknown,Drug
PA151929741,trichostatin A,Unknown,Unknown,Drug
PA165958661,triciribine,Unknown,Unknown,Drug
PA164746229,tridihexethyl,Unknown,"Pathilon, Propethonum",Drug
PA451771,trifluoperazine,Unknown,"Apo-Trifluoperazine, Eskazine, Eskazinyl, Fluoperazine, Jatroneural, Modalina, Novo-Trifluzine, PMS Trifluoperazine, Stelazine, Stelazine Concentrate, Stellazine, Synklor, Terfluzine, Trazine, Trifluoperazin, Trifluoperazina, Trifluoperazine Dihydrochloride, Trifluoperazine HCl, Trifluoperazine Hydrochloride, Trifluoromethylperazine, Trifluoroperazine, Trifluoroperazine Dihydrochloride, Trifluoroperazine Hydrochloride, Trifluperazine, Triflurin, Trifluroperizine, Triftazin, Triftazine, Triperazine, Triphtazin, Triphtazine, Triphthasine, Triphthazine, Triphthazine Dihydrochloride, Tryptazine, Tryptazine Dihydrochloride",Drug
PA451773,triflupromazine,Unknown,"Adazine, Fluopromazine, Psyquil, Siquil, Trifluopromazine",Drug
PA451775,trifluridine,Unknown,"F3DThd, F3T, F3TDR, Fluridine, TFDU, TFT, Trifluoromethyldeoxyuridine, Trifluorothymidine, Trifluridina [INN-Spanish], Trifluridine [USAN:INN], Trifluridinum [INN-Latin], Virophta, Viroptic, trifluorothymine deoxyriboside",Drug
PA166350462,triheptanoin,"glycerol triheptanoate, glyceroltriheptanoate",Unknown,Drug
PA164747026,trihexyphenidyl,"Trihexifenidilo [INN-Spanish], Trihexylphenidyl, Trihexylphenidyle, Trihexylphenizyl, Trihexyphenidyl HCl, Trihexyphenidyle, Trihexyphenidyle [INN-French], Trihexyphenidylum [INN-Latin], Triphenidyl","Apo-Trihex, Artane, Artane Sequels, Benzhexol, Benzhexolum, PMS Trihexyphenidyl, Parkinane Retard, Tremin, Trihexane, Trihexy",Drug
PA164748507,trilostane,trilostane,"Desopan, Modrastane, Modrenal",Drug
